eps,h,A,phi_max,phi_min,phi_mean,regime_code
3.2,0.545,7.376490850648333,4.011103846672524,-3.3653870039758087,0.5385184775596359,2
3.2,0.555,7.325797057813158,4.010617778908516,-3.3151792789046426,0.5539909024689001,2
3.5,0.515,7.12757414692847,3.992101853538314,-3.135472293390156,0.4788025072405226,2
3.5,0.53,7.055954303739064,3.9914784846913007,-3.0644758190477637,0.486904291647697,2
3.5,0.533,7.042622099422459,3.990782546782944,-3.0518395526395157,0.48813545345523635,2
3.5,0.54,7.025630573189778,3.9897810095619337,-3.0358495636278438,0.5040385914167543,2
3.5,0.545,7.00311238864624,3.9889018183969602,-3.0142105702492796,0.5161772403658156,2
3.5,0.555,6.961063955103219,3.987155205437177,-2.9739087496660415,0.5259603272094306,2
4.0,0.515,0.05704157681465849,0.485354792380524,0.4283132155658655,0.46429837668910245,0
4.0,0.53,0.057658137024450384,0.4999446138569462,0.44228647683249583,0.4786468760267295,0
4.0,0.533,0.058086741958507826,0.5027748075750381,0.4446880656165303,0.48132885723569646,0
4.0,0.54,0.05848475644542678,0.5095120362862495,0.45102727984082275,0.4879116130379635,0
4.0,0.545,0.05861736931531569,0.5144438881719585,0.4558265188566428,0.49279501350757765,0
4.0,0.555,0.0588525716424792,0.5243204658458138,0.4654678942033346,0.5025849703134916,0
4.5,0.515,0.06497090873844386,0.48067280827285924,0.4157018995344154,0.456609691955271,0
4.5,0.53,0.06561247904224177,0.49519656093840503,0.42958408189616326,0.47087422477475055,0
4.5,0.533,0.06569205587812543,0.4981530546122472,0.43246099873412175,0.4738010835829314,0
4.5,0.54,0.06598785203209251,0.505022004459949,0.43903415242785654,0.4805659803091694,0
4.5,0.545,0.06612669823123629,0.5099494263613379,0.4438227281301016,0.48544230018133944,0
4.5,0.555,0.06639821214556502,0.5198066227115073,0.45340841056594233,0.4951993450093322,0
5.0,0.515,0.07330664997949798,0.47600232563804695,0.40269567565854897,0.4488222316950781,0
5.0,0.53,0.0738456854810236,0.49052331328981164,0.41667762780878803,0.46311601987650847,0
5.0,0.533,0.0739382198683261,0.49346984437383046,0.41953162450550435,0.4660277346271683,0
5.0,0.54,0.0741487503859855,0.500355510721931,0.42620676033594546,0.4728351841126073,0
5.0,0.545,0.07456656694015595,0.50492855310633,0.43036198616617405,0.47722227300891124,0
5.0,0.555,0.07489608460934949,0.5147384989275666,0.43984241431821713,0.48690805465007786,0
6.0,0.515,0.08863495507191155,0.4657667932624199,0.37713183819050833,0.4326067782554831,0
6.0,0.53,0.08920676623063001,0.4804599113097241,0.3912531450790941,0.4470879619875985,0
6.0,0.533,0.08932205631512108,0.48339796429287024,0.39407590797774916,0.44998327242243225,0
6.0,0.54,0.08959238181681412,0.490252607321339,0.4006602255045249,0.4567376780352305,0
6.0,0.545,0.08978666035183747,0.4951480406642091,0.4053613803123716,0.4615610563561706,0
6.0,0.555,0.09017842854534047,0.504936877915802,0.4147584493704615,0.4712045456477451,0
