eps,h,A,phi_max,phi_min,phi_mean,dominant_freq,freq_ratio,regime_code
4.5,0.533,0.023020523488170297,0.5184831448784185,0.4954626213902482,0.5096501310441904,0.05,1000000.0,0
4.5,0.54,0.023109497707930693,0.5254306020479841,0.5023211043400534,0.5165639840879013,0.05,1000000.0,0
4.5,0.545,0.023157582793193132,0.5304002563999751,0.507242673606782,0.5215151999275218,0.05,1000000.0,0
4.5,0.555,0.023251862528925527,0.5403406351576359,0.5170887726287103,0.5314194050536999,0.05,1000000.0,0
5.0,0.515,0.025724138224091753,0.4987218776990879,0.4729977394749961,0.4888496306660927,0.05,1000000.0,0
5.0,0.53,0.02600704192234332,0.5134950933984509,0.4874880514761076,0.503508702329464,0.05,1000000.0,0
5.0,0.533,0.02604101793425878,0.5164725197910559,0.4904315018567971,0.5064729732442041,0.05,1000000.0,0
5.0,0.54,0.026115606232762156,0.5234245025217212,0.4973088962889591,0.5133962500933695,0.05,1000000.0,0
5.0,0.545,0.0263637492883797,0.5282200581551579,0.5018563088667782,0.5180908713658073,0.05,1000000.0,0
5.0,0.555,0.02648639950084153,0.5381386229367902,0.5116522234359486,0.5279619278819048,0.05,1000000.0,0
6.0,0.515,0.03210547349539006,0.4941587251990282,0.46205325170363815,0.48177924353882995,0.05,1000000.0,0
6.0,0.53,0.032306879803251976,0.509029840246748,0.47672296044349605,0.4965729469589125,0.05,1000000.0,0
6.0,0.533,0.03234752385545098,0.5120038163266047,0.47965629247115377,0.49953129935820917,0.05,1000000.0,0
6.0,0.54,0.0324428764794894,0.5189427408474206,0.48649986436793125,0.5064335672346434,0.05,1000000.0,0
6.0,0.545,0.0325114544352611,0.5238987938282751,0.491387339393014,0.5113632539290488,0.05,1000000.0,0
6.0,0.555,0.032649890931743863,0.533810013813052,0.5011601228813082,0.5212212408711123,0.05,1000000.0,0
